c_country,events,users
US,5132708,94343
SG,273257,27646
HK,185376,3534
DE,176484,6317
GB,140493,7953
FR,130761,4046
JP,112692,2559
CN,76295,17932
IE,62820,1096
EC,58345,771
CA,41519,3387
IN,34945,3357
RU,34885,2490
NL,33550,1839
AU,33534,1686
KR,31186,1469
BR,19564,7465
ES,18325,1308
IT,17503,1213
MY,17488,636
AT,15772,942
FI,15726,748
VN,15330,5236
PL,12186,809
CH,11906,830
SE,10633,792
MX,10258,1496
TW,10016,637
TR,9037,688
IR,8861,317
BG,8309,236
BE,6684,453
DK,5920,296
HU,5569,219
ID,5461,1462
TH,5399,967
PK,4780,425
AR,4694,1000
RO,4237,322
EG,3832,341
IL,3468,413
CZ,3116,313
LU,3038,85
NZ,2710,709
PT,2583,359
UA,2517,414
SC,2406,95
BD,2262,522
PH,2195,780
NO,2101,232
OM,1956,78
GR,1700,190
MA,1679,263
CO,1654,364
AE,1636,214
-,1515,277
DZ,1449,226
CL,1331,338
SA,1316,294
BA,1238,89
RS,1211,222
ZA,1158,397
IQ,967,418
NG,922,138
LT,888,109
PE,751,154
AM,745,49
GE,733,69
HR,722,91
JM,700,181
KE,695,177
BZ,650,4
NP,620,92
EE,579,44
SK,471,68
ET,463,132
VE,454,241
TN,426,96
KZ,401,110
UY,388,120
PY,371,180
JO,344,126
LV,340,46
IS,315,17
SI,300,45
PA,284,44
UZ,281,150
AZ,256,93
LK,250,61
UG,250,17
CY,243,44
BY,215,51
BO,202,58
QA,198,38
CW,189,4
MC,178,1
AL,167,59
GD,161,5
PS,157,48
PR,146,44
MO,146,17
LB,132,58
SD,131,7
KH,130,45
DO,129,55
MD,123,34
RW,123,8
KW,119,34
TZ,118,18
GH,116,36
MM,113,31
CR,109,48
MN,109,25
GT,102,42
CI,101,19
GW,90,1
BH,83,24
LY,81,21
MK,76,27
CM,72,11
SY,68,31
AF,65,7
LA,62,8
SV,62,21
MT,61,17
AO,61,24
SN,60,40
MZ,56,15
YE,55,18
ME,47,12
HN,47,37
NI,41,22
MR,41,7
KG,39,31
ZW,38,10
TT,37,18
MU,36,14
ZM,34,11
CV,34,2
XK,34,22
BB,26,11
GA,25,19
SZ,22,6
RE,20,3
VG,19,3
PG,17,2
BN,17,8
BS,15,6
BT,15,3
GM,14,2
BW,14,10
IM,12,7
AI,12,1
NA,11,5
SL,11,1
CU,11,6
GY,10,6
BJ,10,3
CD,10,4
MW,8,2
SO,8,4
MG,8,2
CG,8,6
BI,8,2
TG,5,5
SR,5,2
GF,5,1
MV,5,4
ML,4,4
TC,4,1
DJ,4,1
SS,4,1
BF,3,2
MQ,3,1
AD,3,2
LI,3,3
TJ,2,2
GG,2,1
GU,2,1
GL,2,2
GN,2,1
MP,2,1
KI,1,1
TM,1,1
YT,1,1
MH,1,1
