event_month,interface_guess,event_count,unique_users
2023-10-01,EUI,2233,76
2023-10-01,OTHER,17573,2219
2023-10-01,RUI,286,34
2023-11-01,EUI,16369,318
2023-11-01,OTHER,43910,3501
2023-11-01,RUI,15015,199
2023-12-01,EUI,12754,458
2023-12-01,OTHER,49879,5022
2023-12-01,RUI,31316,332
2024-01-01,CDE,1,1
2024-01-01,EUI,34811,453
2024-01-01,OTHER,81106,4885
2024-01-01,RUI,6583,323
2024-02-01,CDE,16,2
2024-02-01,EUI,10876,463
2024-02-01,OTHER,69387,4744
2024-02-01,RUI,12495,318
2024-03-01,EUI,14413,541
2024-03-01,OTHER,95634,5958
2024-03-01,RUI,24006,375
2024-04-01,EUI,24737,457
2024-04-01,OTHER,121824,6344
2024-04-01,RUI,7357,365
2024-05-01,EUI,15044,739
2024-05-01,OTHER,78809,7604
2024-05-01,RUI,3931,622
2024-06-01,CDE,282,70
2024-06-01,EUI,11645,672
2024-06-01,OTHER,107029,7480
2024-06-01,RUI,2669,506
2024-07-01,CDE,350,124
2024-07-01,EUI,17914,793
2024-07-01,OTHER,123160,9075
2024-07-01,RUI,5203,660
2024-08-01,CDE,413,162
2024-08-01,EUI,12203,746
2024-08-01,OTHER,110026,8551
2024-08-01,RUI,10155,672
2024-09-01,CDE,523,216
2024-09-01,EUI,20080,946
2024-09-01,OTHER,112495,8171
2024-09-01,RUI,89659,812
2024-10-01,CDE,2731,772
2024-10-01,EUI,20534,1553
2024-10-01,OTHER,150018,9334
2024-10-01,RUI,19593,1230
2024-11-01,CDE,290,192
2024-11-01,EUI,9928,990
2024-11-01,OTHER,138527,12103
2024-11-01,RUI,189235,992
2024-12-01,CDE,487,176
2024-12-01,EUI,8567,749
2024-12-01,OTHER,169575,12630
2024-12-01,RUI,20264,769
2025-01-01,CDE,393,205
2025-01-01,EUI,9936,877
2025-01-01,OTHER,161117,12199
2025-01-01,RUI,17441,895
2025-02-01,CDE,314,184
2025-02-01,EUI,14231,912
2025-02-01,OTHER,154662,12726
2025-02-01,RUI,25620,885
2025-03-01,CDE,582,178
2025-03-01,EUI,16283,1139
2025-03-01,OTHER,191293,15141
2025-03-01,RUI,25546,1169
2025-04-01,CDE,699,350
2025-04-01,EUI,12402,1123
2025-04-01,OTHER,167278,14674
2025-04-01,RUI,40128,1059
2025-05-01,CDE,307,194
2025-05-01,EUI,15000,1241
2025-05-01,OTHER,168087,16897
2025-05-01,RUI,50707,1165
2025-06-01,CDE,341,186
2025-06-01,EUI,13611,917
2025-06-01,OTHER,204207,17155
2025-06-01,RUI,19389,993
2025-07-01,CDE,488,277
2025-07-01,EUI,19239,1242
2025-07-01,OTHER,472913,17534
2025-07-01,RUI,29007,1136
2025-08-01,CDE,625,308
2025-08-01,EUI,26410,1589
2025-08-01,OTHER,286691,21992
2025-08-01,RUI,20964,1145
2025-09-01,CDE,469,327
2025-09-01,EUI,21708,2257
2025-09-01,OTHER,264217,20122
2025-09-01,RUI,52700,1423
2025-10-01,CDE,504,330
2025-10-01,EUI,23042,2630
2025-10-01,OTHER,345022,20927
2025-10-01,RUI,42816,1289
2025-11-01,CDE,359,242
2025-11-01,EUI,13851,2739
2025-11-01,OTHER,292516,21765
2025-11-01,RUI,27302,1005
2025-12-01,CDE,313,216
2025-12-01,EUI,24295,2895
2025-12-01,OTHER,300160,24876
2025-12-01,RUI,25873,1165
2026-01-01,CDE,137,89
2026-01-01,EUI,4221,1170
2026-01-01,OTHER,121568,11800
2026-01-01,RUI,3520,419
